userID,itemID,rating,timestamp
2409,256,5.0,1114232409
2533,1116,4.0,1351541044
422,369,4.0,1068357977
840,53,4.0,1010512429
521,167,3.5,1107571443
785,1941,4.0,1112403818
2607,210,4.5,1274447889
835,121,3.5,1077903438
1920,577,3.0,946043510
2124,203,3.5,1139527586
100,154,5.0,1231644565
190,159,3.5,1185512803
2926,245,4.5,1305231084
2516,6,5.0,1221600974
1261,643,3.5,1157976190
654,490,3.0,940067619
1225,1082,3.0,1091709606
498,1766,3.0,1356755261
721,178,4.5,1180406990
1454,206,4.0,952800262
1571,1,4.0,849670496
1359,1333,3.5,1253401665
757,268,3.0,944964603
876,129,2.5,1251590050
1325,480,1.5,1339974306
1588,93,4.0,1108486501
343,521,3.0,849873402
1595,1101,3.0,1055496721
966,121,2.0,1331593161
1889,1182,3.0,846138107
1787,121,4.0,1056988357
886,760,4.0,942770359
521,286,1.0,1111497918
691,260,5.0,987115494
2325,1251,3.0,1425132146
2086,86,5.0,948058029
59,1073,4.0,949263449
2734,237,4.0,976766727
2672,113,3.5,1141798512
1225,1043,3.0,1091265632
2144,100,4.0,1003343178
2206,845,5.0,949269725
2251,26,3.0,830350395
2078,4,3.0,952380549
1030,43,4.0,848955348
1439,211,3.5,1249902764
1705,551,4.0,939323722
777,37,3.5,1079624086
332,1673,5.0,1180341984
2179,97,2.0,1015576338
948,106,5.0,1009912962
327,142,3.0,1299445468
1846,6,5.0,1393355512
1824,131,5.0,1089960211
1295,378,4.5,1255988198
42,358,4.0,938654171
19,158,2.0,967063270
2032,166,2.0,1008644803
481,71,3.0,851811700
1121,43,5.0,844613829
126,159,3.0,832303782
316,539,1.0,890008219
1334,915,4.0,1013443227
1079,1843,2.5,1147477509
2814,1220,4.0,1184505851
447,423,2.0,849260459
1091,311,5.0,1044245241
1342,166,2.5,1128851723
2934,314,4.0,1100357204
2387,1220,4.5,1324212710
1487,117,4.0,1175037058
1668,93,5.0,1066892245
1170,2111,4.0,920415559
332,2027,3.5,1180345143
335,575,4.0,975798016
927,193,5.0,1006661579
1669,84,3.5,1107269407
1531,292,1.0,915360821
1085,161,2.5,1109642572
2699,43,3.0,833941369
1680,8,4.0,833645660
199,60,4.0,1115408913
2856,1052,5.0,1053999750
845,12,4.0,1055551108
1423,216,5.0,1001388911
504,1168,5.0,1232832374
2158,1821,4.0,1259803207
332,1981,2.5,1226196938
2666,540,4.0,988218177
1595,347,3.5,1055498969
948,165,5.0,1011458621
511,290,4.0,985505422
525,45,4.5,1250361401
2620,1158,5.0,1232284764
223,54,3.0,1024945083
1881,137,3.5,1345963118
2027,748,4.0,1153607171
1925,173,1.5,1118795094
2104,42,3.0,839980454
1624,183,2.0,993738605
637,12,4.0,1426819494
2935,140,3.0,1421888263
390,1034,3.5,1328826114
2938,5,4.5,1140206439
2123,289,2.5,1210924631
2541,358,4.0,1016827157
69,72,5.0,1288577271
805,6,5.0,849307125
1365,241,4.0,856623954
1329,281,5.0,974780533
1854,1421,3.0,1039806555
1893,72,3.0,858777380
2646,151,4.5,1236548669
1378,5,4.0,1054215682
2055,182,4.0,1337552884
2958,309,3.0,968461536
2565,310,5.0,1322991741
1940,88,4.0,1049245492
1788,1034,3.5,1243204080
1038,210,2.0,1238815352
1551,1895,4.5,1071006441
1446,92,3.0,1151637041
751,164,3.0,1092032917
486,158,3.0,1034746615
1349,178,3.0,943644623
2902,105,5.0,1049817584
1176,493,2.0,884878161
1635,502,3.0,1120962404
69,848,3.0,1288584140
2481,884,5.0,1012244954
690,231,4.0,833138943
867,111,3.5,1182291419
655,1186,2.0,1262114791
1412,1114,2.5,1215879549
1648,37,3.0,884994085
1091,839,4.0,1044246094
1098,169,3.0,1318221842
1142,10,4.5,1111566517
2396,183,5.0,945565311
1091,813,4.0,940080806
1055,858,1.0,1006729395
1092,28,3.5,1106248399
2886,1188,5.0,1046131073
1683,510,3.0,861352383
2688,2440,3.5,1410603470
2766,1068,3.0,959481434
1098,1641,4.0,1305168393
2923,3870,1.0,1242160917
2666,3670,3.0,991166265
1330,213,4.0,968365823
359,53,4.0,962893336
2077,278,3.0,1126022122
1156,259,4.0,999126038
1470,173,4.0,1137496502
1551,272,3.5,1071011752
2793,9,5.0,835353711
2930,5,5.0,1311623378
1276,2252,1.0,1215069646
2479,723,3.5,1304447209
2797,131,5.0,1164936733
1098,3011,3.5,1308761768
640,731,4.0,1043009856
676,1201,4.5,1284565151
675,49,3.0,1139007933
2869,1037,3.0,1019807365
2077,549,3.0,1126014552
2923,1164,4.0,1242161179
1496,556,5.0,901414810
2832,1109,5.0,1212162517
718,102,2.0,993877002
119,36,4.5,1313876964
34,187,3.0,1054504740
481,61,5.0,851811612
347,1614,4.0,916512238
2032,1102,3.0,1045494009
1052,317,1.5,1309739708
1749,44,4.0,1104348325
225,167,4.5,1168031286
521,182,4.5,1222102328
145,35,4.0,1175542428
1670,168,5.0,1217050673
923,880,5.0,1039360473
1511,609,3.0,1108061786
1087,581,3.0,856942000
676,1878,4.0,1413749870
289,1182,3.0,835717201
1333,1838,3.5,1250563054
1945,1223,5.0,1424027292
2625,1073,4.0,1017696940
1142,261,4.0,1111566897
803,246,5.0,944098129
1225,396,3.5,1091703319
521,1998,3.0,1398554164
23,358,4.0,945909509
1337,26,4.0,1341811183
1098,2173,3.0,1305166870
2593,36,4.0,834693408
2053,3,2.0,913139059
1359,1515,3.5,1254267625
1415,18,5.0,960050518
1222,1656,4.5,1230623652
1143,617,4.0,1139801993
2301,1121,4.0,1114194877
2380,292,4.0,939225703
843,1203,2.5,1091617044
238,28,2.0,1012224314
1906,2615,0.5,1194736362
23,90,4.0,948149931
1164,1424,3.0,1252904713
2072,266,4.0,946183937
1674,569,2.0,950501302
141,252,3.5,1321121407
2739,1245,4.5,1387154687
2672,1202,1.5,1141626307
2900,1214,5.0,1258323255
242,932,0.5,1114374661
511,96,4.0,981018216
100,1766,3.5,1262056664
1225,378,3.5,1091264606
525,1108,5.0,1238870812
1486,203,3.0,1199559179
1597,72,4.0,913058526
1869,1599,3.0,1033008459
1098,1222,4.5,1305067765
2229,623,2.5,1169868937
1473,1212,2.5,1297028142
15,670,1.0,902109552
745,178,5.0,974843850
334,249,4.0,1371134884
1649,9,3.0,1078108761
2292,657,2.0,996629233
2222,1186,2.0,1118379034
2562,3938,3.5,1133269963
2885,244,4.5,1073069458
1326,586,3.5,1311479827
1329,398,3.0,1199220734
2345,159,2.0,831634597
2360,581,2.5,1112324426
426,2460,3.5,1243298722
676,93,4.0,1384111456
2583,12,3.0,898598472
443,157,5.0,849645577
1660,19,4.0,984369765
521,60,4.5,1119311221
638,181,3.5,1265848510
213,1862,1.5,1230441663
1931,624,5.0,981428660
1778,314,1.0,1017935609
2552,40,5.0,834828059
1806,7,2.0,841386404
400,310,4.0,946162958
2158,161,5.0,1259800613
2893,1178,2.0,957202440
2222,3163,3.5,1118379367
1381,194,4.0,961098032
1412,3111,3.5,1259676316
2461,777,3.0,1199045339
393,18,4.0,1023208583
2353,672,2.5,1146933931
1419,190,4.0,930885542
2087,1114,4.0,1204426477
2192,186,5.0,1376436195
1384,73,5.0,949280396
2077,440,3.5,1126015671
808,261,2.0,916666013
713,440,5.0,841693202
1100,1165,2.5,1269866402
1092,213,4.5,1106269128
1415,628,2.0,960049741
869,1331,5.0,1043023995
1392,90,5.0,952571915
2707,378,5.0,1353976914
1322,1966,3.0,987895651
2679,991,2.5,1325124238
2928,121,4.0,1408425792
2097,1245,5.0,1283113289
1961,260,1.0,966780643
1866,20,3.0,840377459
2161,203,3.0,975432429
1345,77,1.5,1112249712
850,50,4.0,1085434223
2904,418,2.5,1415529658
1378,194,4.5,1054235464
1325,1249,5.0,1339974531
589,174,3.0,1118417161
514,687,2.5,1085592016
1670,526,3.0,1217049625
15,758,1.0,975626854
961,435,3.0,840949925
2108,54,2.5,1273396911
2276,71,3.0,883577862
2821,159,4.0,854484097
130,1112,4.0,857806860
2809,858,4.0,1017681451
2809,888,3.0,1017685710
2543,2096,4.0,1114735362
2592,698,5.0,946804199
2063,94,4.0,1107792126
1161,502,5.0,832253200
2118,164,2.0,1140036518
1837,220,4.5,1100882087
1055,320,1.0,1006729654
945,1218,3.0,1319181924
655,966,3.0,1270146477
2626,256,4.0,999457343
2037,268,0.5,1139733611
1388,20,2.0,845321316
675,310,3.5,1139008957
2369,212,4.5,1399679820
1736,1319,4.0,1295287286
947,2529,3.5,1259456685
1252,144,4.0,1348167278
2774,7,4.0,955885196
2901,351,5.0,1297145177
121,213,3.5,1359315366
1437,1,3.0,942700649
1445,1105,2.5,1150658478
799,206,4.5,1225306498
2077,58,2.0,1126025559
623,43,4.0,834587779
2600,20,3.0,1111748761
2353,115,3.0,1146935139
893,220,4.5,1097359891
1763,47,3.0,1425863457
413,260,3.0,906893092
1837,653,3.0,1124195903
27,5,5.0,945909465
843,1099,4.5,1085860253
1605,265,3.5,1115505879
1209,351,3.5,1111483759
221,782,3.0,1134359121
1706,289,4.5,1165839330
1163,1268,4.5,1081728956
2434,2400,3.5,1402093041
361,539,5.0,944963497
2433,128,4.0,1259442582
2539,431,3.0,832328107
1700,488,4.0,1074997142
1906,249,4.5,1194396675
1011,643,4.0,938888975
1820,264,3.5,1197851366
1359,247,3.5,1254137781
2592,260,3.0,946805355
361,307,4.0,946352753
2527,111,4.0,1195355438
2510,1743,3.0,1169865963
2063,199,3.5,1172489813
2108,2143,2.0,1225788575
2565,44,4.5,1322993988
215,1244,4.0,1290121041
1098,1206,4.0,1311512688
821,1138,4.5,1104600209
1722,549,5.0,998006062
2712,122,3.5,1226853202
1551,1189,3.5,1071017216
1411,66,5.0,968161450
2770,419,4.5,1342900991
2780,12,5.0,950575611
2352,166,5.0,1019690037
1854,660,4.0,1039806464
69,881,3.5,1288571235
913,32,4.0,942261522
1548,318,1.0,994203075
1700,638,4.0,1148771355
709,9,4.0,1072639304
15,488,4.0,902072015
170,246,4.0,1040579332
829,475,4.0,847877992
2367,31,4.5,1301772510
2280,90,4.0,1229062859
1086,575,4.0,947112368
2469,1182,2.0,833552403
1329,1828,1.0,974778941
2092,156,3.0,830635716
1241,0,3.0,861053870
1624,72,4.0,993738605
37,206,5.0,1089310226
2222,210,2.0,1118622651
710,844,5.0,965133946
316,37,4.0,890005486
518,46,4.0,938537270
2935,62,3.0,1421888425
37,300,3.5,1097251997
2533,105,4.5,1351541664
2090,121,4.0,1176210837
2658,3959,4.0,1360210551
2929,378,5.0,1107794740
2865,2547,3.0,910616919
2095,67,5.0,849600465
1229,473,2.5,1317762586
2188,354,3.0,1119807418
2087,2290,4.0,1105545529
1225,1326,3.5,1091261112
1483,9,5.0,838898391
1284,220,4.5,1244009688
1431,1702,4.5,1386835874
2861,549,5.0,941483987
1359,1350,4.0,1254083997
2824,38,4.0,1150832741
549,518,5.0,1229036440
1416,273,4.0,911321465
1219,14,2.0,984182610
1585,73,4.0,877304752
1624,586,5.0,994706910
15,547,3.0,902106862
1290,453,3.0,843054359
353,182,4.0,1064091362
1400,623,4.0,1033156063
2227,36,4.0,840453846
689,86,3.0,974766252
2482,303,3.0,955077897
2307,477,3.0,978689687
2116,43,4.5,1316391470
1860,63,3.5,1111473896
867,938,3.5,1216460969
335,81,3.0,975799293
2878,1464,3.0,1080705823
867,1177,4.5,1275623496
2118,1183,5.0,1140035902
587,210,5.0,1277217113
824,204,3.0,902178266
1084,1299,3.0,938969146
390,90,4.0,1329605953
722,854,3.0,1112508291
127,125,4.0,1331110395
2779,1739,4.0,1156033683
1365,581,4.0,856623127
1531,614,4.0,915360863
835,534,5.0,939035476
2436,5,5.0,902851702
2358,37,3.0,968153513
797,393,0.5,1172012105
2581,643,3.5,1074556882
2584,524,3.0,841401731
1379,211,3.5,1225230430
2586,121,3.5,1398889552
2261,300,3.0,1117143614
1165,47,4.0,1293387897
1778,823,3.0,1030735365
1431,232,4.0,1396322218
2912,20,2.5,1166621288
890,35,1.0,846778868
2908,206,3.0,985400788
1778,859,3.0,1131399581
103,416,4.0,942838990
1782,400,3.5,1421098716
1604,2159,3.0,828740561
2042,212,4.0,1120671812
947,190,4.5,1264302415
56,249,5.0,968521742
511,69,4.0,1094281937
1635,2198,1.5,1121004344
701,519,3.5,1286299331
939,2363,2.0,955659232
1892,216,3.0,1300338134
332,801,4.0,1211798934
441,14,5.0,1277088233
365,260,5.0,1343461995
1098,1073,4.0,1305318230
1439,86,2.0,1249903316
1098,3311,3.0,1306291400
